"Country or Area","Year","Item","Value"
"Afghanistan","2019","Gross Domestic Product (GDP)","469.919090127469"
"Afghanistan","2018","Gross Domestic Product (GDP)","483.885874505381"
"Albania","2019","Gross Domestic Product (GDP)","5303.19782273234"
"Albania","2018","Gross Domestic Product (GDP)","5254.3847977623"
"Algeria","2019","Gross Domestic Product (GDP)","3975.51038119501"
"Algeria","2018","Gross Domestic Product (GDP)","4153.9572199454"
"Andorra","2019","Gross Domestic Product (GDP)","40887.4216465747"
"Andorra","2018","Gross Domestic Product (GDP)","41794.3985720242"
"Angola","2019","Gross Domestic Product (GDP)","2670.85073226766"
"Angola","2018","Gross Domestic Product (GDP)","3289.64337378359"
"Anguilla","2019","Gross Domestic Product (GDP)","25528.573567178"
"Anguilla","2018","Gross Domestic Product (GDP)","21755.9536326769"
"Antigua and Barbuda","2019","Gross Domestic Product (GDP)","17112.8211347326"
"Antigua and Barbuda","2018","Gross Domestic Product (GDP)","16672.7442395764"
"Argentina","2019","Gross Domestic Product (GDP)","10041.4633030642"
"Argentina","2018","Gross Domestic Product (GDP)","11719.0756778825"
"Armenia","2019","Gross Domestic Product (GDP)","4622.73321649605"
"Armenia","2018","Gross Domestic Product (GDP)","4220.53419428467"
"Aruba","2019","Gross Domestic Product (GDP)","30974.7146194844"
"Aruba","2018","Gross Domestic Product (GDP)","30262.487230326"
"Australia","2019","Gross Domestic Product (GDP)","54763.2023879958"
"Australia","2018","Gross Domestic Product (GDP)","58596.826340534"
"Austria","2019","Gross Domestic Product (GDP)","49700.761832546"
"Austria","2018","Gross Domestic Product (GDP)","51183.7816437729"
"Azerbaijan","2019","Gross Domestic Product (GDP)","4781.94621493393"
"Azerbaijan","2018","Gross Domestic Product (GDP)","4735.14288045953"
"Bahamas","2019","Gross Domestic Product (GDP)","34863.7420984795"
"Bahamas","2018","Gross Domestic Product (GDP)","33767.766059792"
"Bahrain","2019","Gross Domestic Product (GDP)","23503.977126673"
